kepid,koi_disposition,koi_score,rowid
2854914,CONFIRMED,1,383
2854914,CONFIRMED,0.912,384
3337425,FALSE POSITIVE,0,385
3116412,CONFIRMED,0.989,386
3865567,FALSE POSITIVE,0,387
3544689,FALSE POSITIVE,0,388
4037164,FALSE POSITIVE,0,389
3443790,FALSE POSITIVE,0,390
3966912,FALSE POSITIVE,0,391
8394721,CONFIRMED,0.994,392
11607193,FALSE POSITIVE,,393
1161345,CANDIDATE,0.711,394
10227501,FALSE POSITIVE,0,395
2854698,CONFIRMED,1,396
2854698,CONFIRMED,0.881,397
8559644,CONFIRMED,1,398
6032981,FALSE POSITIVE,,399
5866099,FALSE POSITIVE,0,400
5964985,FALSE POSITIVE,,401
6066416,FALSE POSITIVE,0,402
1996679,FALSE POSITIVE,0,403
2849805,CONFIRMED,1,404
3114811,CONFIRMED,1,405
2853446,CANDIDATE,1,406
3003992,FALSE POSITIVE,0,407
3942446,CANDIDATE,1,408
3554031,CONFIRMED,1,409
3554031,CANDIDATE,0,410
3554031,CONFIRMED,0.999,411
8394721,CONFIRMED,1,412
7295235,CONFIRMED,1,413
2302548,CONFIRMED,1,414
2302548,CONFIRMED,1,415
10743597,FALSE POSITIVE,,416
10743597,FALSE POSITIVE,0,417
9818381,CONFIRMED,1,418
6124941,FALSE POSITIVE,1,419
6060203,CONFIRMED,1,420
5880320,CONFIRMED,1,421
5880320,CONFIRMED,0.758,422
5880320,CONFIRMED,1,423
3003992,FALSE POSITIVE,0,424
6307537,FALSE POSITIVE,0,425
6359798,FALSE POSITIVE,0,426
6311681,FALSE POSITIVE,0,427
6365321,FALSE POSITIVE,0.001,428
6301035,FALSE POSITIVE,0,429
3859079,CONFIRMED,1,430
3557493,FALSE POSITIVE,,431
4061149,CONFIRMED,1,432
3444588,CONFIRMED,0.99,433
8394721,CONFIRMED,1,434
3962243,CONFIRMED,0.999,435
10743597,CANDIDATE,,436
10015516,FALSE POSITIVE,,437
10154388,CONFIRMED,0.999,438
1432789,CONFIRMED,0.848,439
1718189,CONFIRMED,1,440
5880320,CONFIRMED,0.884,441
5130369,FALSE POSITIVE,0,442
6037187,CONFIRMED,1,443
6147122,FALSE POSITIVE,0,444
8257407,FALSE POSITIVE,0,445
8218274,FALSE POSITIVE,0.557,446
3964562,FALSE POSITIVE,0,447
5735762,CONFIRMED,1,448
6292162,FALSE POSITIVE,0,449
6307521,FALSE POSITIVE,0,450
6359320,CONFIRMED,1,451
3848972,FALSE POSITIVE,0,452
3860441,FALSE POSITIVE,0,453
3765771,FALSE POSITIVE,0,454
3557341,FALSE POSITIVE,0,455
3859628,CONFIRMED,1,456
3644071,CANDIDATE,,457
1718189,CONFIRMED,1,458
1431122,CANDIDATE,0.99,459
3858949,FALSE POSITIVE,0,460
3858824,FALSE POSITIVE,0,461
2157247,FALSE POSITIVE,,462
7601633,FALSE POSITIVE,0,463
8242681,FALSE POSITIVE,0.008,464
8260218,CANDIDATE,1,465
8246781,FALSE POSITIVE,0,466
8264070,FALSE POSITIVE,0,467
8222813,CONFIRMED,1,468
6359320,CONFIRMED,1,469
6359320,CANDIDATE,1,470
6362874,CONFIRMED,1,471
6272413,CONFIRMED,1,472
8279765,FALSE POSITIVE,0,473
8330548,FALSE POSITIVE,0,474
3348082,FALSE POSITIVE,0,475
3853673,FALSE POSITIVE,0,476
3447722,CONFIRMED,0.986,477
3447722,CONFIRMED,0.994,478
3447722,CONFIRMED,0.998,479
3447722,CANDIDATE,,480
1432214,FALSE POSITIVE,0,481
2165002,CONFIRMED,1,482
2165002,CONFIRMED,1,483
2441728,FALSE POSITIVE,0,484
1871056,CONFIRMED,0.976,485
8222813,CONFIRMED,1,486
12105051,CANDIDATE,1,487
8240904,CONFIRMED,1,488
8240904,CONFIRMED,1,489
8240904,CANDIDATE,,490
8374494,FALSE POSITIVE,0,491
5735762,CONFIRMED,1,492
8414907,FALSE POSITIVE,0,493
8414907,FALSE POSITIVE,0,494
8397446,FALSE POSITIVE,0,495
8386035,FALSE POSITIVE,0,496
3962243,CONFIRMED,0.985,497
3962243,CONFIRMED,0.829,498
3438507,CONFIRMED,1,499
3869014,CONFIRMED,1,500
3756801,CANDIDATE,,501
1871056,CONFIRMED,0.991,502
1865042,CONFIRMED,0.998,503
2438502,FALSE POSITIVE,0.046,504
2309585,FALSE POSITIVE,0,505
5780460,CONFIRMED,1,506
8244190,FALSE POSITIVE,0,507
8229696,CONFIRMED,0.998,508
8262210,FALSE POSITIVE,0,509
10272640,CONFIRMED,1,510
10232123,FALSE POSITIVE,0.964,511
10223616,FALSE POSITIVE,0,512
8415745,FALSE POSITIVE,0,513
8378634,FALSE POSITIVE,0,514
8397675,FALSE POSITIVE,0.762,515
8346392,CONFIRMED,1,516
8288947,CONFIRMED,1,517
8312852,FALSE POSITIVE,0,518
9480189,CONFIRMED,1,519
11974540,CONFIRMED,1,520
9480189,CONFIRMED,1,521
9480189,CONFIRMED,1,522
9512687,CONFIRMED,1,523
8644288,CONFIRMED,1,524
5738346,FALSE POSITIVE,0,525
1725016,CONFIRMED,1,526
1722276,FALSE POSITIVE,0,527
892772,FALSE POSITIVE,0,528
1027438,FALSE POSITIVE,,529
10268907,FALSE POSITIVE,0,530
5446285,CONFIRMED,,531
10166274,CONFIRMED,1,532
10166274,CONFIRMED,0.99,533
10166274,CONFIRMED,0.992,534
10153827,FALSE POSITIVE,,535
5735762,CONFIRMED,0.998,536
8302450,FALSE POSITIVE,0,537
8313667,CANDIDATE,0.996,538
8351704,CONFIRMED,1,539
8299955,FALSE POSITIVE,0,540
9513865,CONFIRMED,1,541
9595686,FALSE POSITIVE,1,542
9605514,CONFIRMED,1,543
9605514,CONFIRMED,0.999,544
9661877,FALSE POSITIVE,0,545
5728283,FALSE POSITIVE,0,546
8127639,FALSE POSITIVE,0,547
6047498,FALSE POSITIVE,0,548
8125580,CONFIRMED,0.995,549
8158127,CONFIRMED,1,550
10158990,FALSE POSITIVE,0,551
10149023,CANDIDATE,0,552
10141900,CANDIDATE,1,553
10141900,CANDIDATE,0.695,554
10141900,CONFIRMED,0.821,555
8410727,CONFIRMED,1,556
8410727,CONFIRMED,0.998,557
8349405,FALSE POSITIVE,,558
8278371,CONFIRMED,1,559
8280511,CONFIRMED,1,560
8280511,CONFIRMED,0.997,561
9710326,CONFIRMED,1,562
9761882,CONFIRMED,1,563
5297298,FALSE POSITIVE,0.913,564
9766437,CONFIRMED,1,565
9772531,CANDIDATE,0.993,566
9775938,CONFIRMED,1,567
8644288,CONFIRMED,1,568
8158127,CONFIRMED,0.989,569
8176653,FALSE POSITIVE,0,570
8174625,CONFIRMED,1,571
8183911,FALSE POSITIVE,0,572
8179973,FALSE POSITIVE,,573
10157458,CONFIRMED,1,574
4649305,FALSE POSITIVE,0.983,575
10148521,FALSE POSITIVE,0,576
10118816,CONFIRMED,0.993,577
10122255,CONFIRMED,1,578
3124412,FALSE POSITIVE,0,579
3835670,CONFIRMED,1,580
10287248,FALSE POSITIVE,0,581
10351767,FALSE POSITIVE,0,582
10295951,CANDIDATE,0.871,583
10342041,FALSE POSITIVE,0,584
10514770,FALSE POSITIVE,0,585
9775938,CONFIRMED,0.982,586
9787239,CONFIRMED,1,587
9787239,CONFIRMED,1,588
9787239,CONFIRMED,1,589
9787239,CONFIRMED,0.968,590
9787239,CONFIRMED,0.996,591
2309719,FALSE POSITIVE,0,592
2558363,FALSE POSITIVE,0,593
2716853,CONFIRMED,1,594
2445154,FALSE POSITIVE,0,595
2715135,CONFIRMED,1,596
8644288,CONFIRMED,1,597
3113266,FALSE POSITIVE,0,598
3247268,CONFIRMED,0.934,599
3247268,CONFIRMED,1,600
3232859,FALSE POSITIVE,0,601
3098184,FALSE POSITIVE,0,602
2720309,FALSE POSITIVE,,603
10342065,FALSE POSITIVE,0,604
10352945,FALSE POSITIVE,0,605
10354039,CONFIRMED,0.894,606
10330115,CONFIRMED,1,607
10426656,CONFIRMED,1,608
9820483,CONFIRMED,1,609
9941662,CONFIRMED,0.875,610
7778437,CONFIRMED,1,611
9823457,CONFIRMED,1,612
9823457,CONFIRMED,1,613
2574201,FALSE POSITIVE,0,614
2166206,FALSE POSITIVE,0,615
2164169,CONFIRMED,1,616
2574338,CONFIRMED,0.997,617
2584163,CONFIRMED,0.885,618
4180280,CONFIRMED,1,619
3239636,FALSE POSITIVE,0,620
2721030,CONFIRMED,0.994,621
3329204,CANDIDATE,0.997,622
3230491,CANDIDATE,,623
3340070,FALSE POSITIVE,,624
7626506,CONFIRMED,1,625
10426656,CONFIRMED,0.991,626
10426656,CONFIRMED,0.961,627
10528068,CONFIRMED,0.999,628
10468940,CONFIRMED,1,629
9825625,CONFIRMED,1,630
9875711,CONFIRMED,1,631
7661409,FALSE POSITIVE,0,632
1026957,CONFIRMED,1,633
10002261,FALSE POSITIVE,0.729,634
8176650,FALSE POSITIVE,0,635
2162635,CANDIDATE,,636
5899544,FALSE POSITIVE,0,637
5963222,FALSE POSITIVE,0,638
5982353,FALSE POSITIVE,0,639
6205468,FALSE POSITIVE,0,640
8506766,FALSE POSITIVE,0,641
3240706,FALSE POSITIVE,0,642
2853093,CONFIRMED,1,643
3228824,FALSE POSITIVE,0,644
3245969,CONFIRMED,1,645
3231341,CONFIRMED,1,646
10468940,CONFIRMED,1,647
10341831,FALSE POSITIVE,0,648
10337517,CONFIRMED,1,649
10337517,CONFIRMED,1,650
10351231,CONFIRMED,0.994,651
10485179,FALSE POSITIVE,0,652
8561063,CONFIRMED,1,653
8561063,CONFIRMED,0,654
8892910,FALSE POSITIVE,0,655
8561063,CONFIRMED,1,656
10657664,FALSE POSITIVE,0,657
3337351,FALSE POSITIVE,0,658
6153201,FALSE POSITIVE,,659
5802486,FALSE POSITIVE,0,660
5817553,FALSE POSITIVE,0,661
5982368,FALSE POSITIVE,0,662
5816811,FALSE POSITIVE,0,663
5816165,FALSE POSITIVE,0,664
7102227,CONFIRMED,1,665
7102227,CONFIRMED,1,666
7102227,CANDIDATE,0.921,667
6960913,CONFIRMED,0.998,668
6837146,CANDIDATE,1,669
11122894,CONFIRMED,0.907,670
11122894,CANDIDATE,0.999,671
11129738,CONFIRMED,0.999,672
11401182,CONFIRMED,1,673
11030711,CONFIRMED,0.997,674
11512246,CONFIRMED,0.996,675
6607286,CANDIDATE,1,676
6607286,CANDIDATE,0.545,677
6690082,CONFIRMED,1,678
6690082,CONFIRMED,1,679
6448890,CONFIRMED,1,680
6448890,CONFIRMED,0.098,681
10730034,CONFIRMED,1,682
10730034,CONFIRMED,0.978,683
10858691,CONFIRMED,1,684
10858691,CONFIRMED,0.994,685
10858691,CONFIRMED,0.95,686
8107380,CONFIRMED,1,687
6936909,CONFIRMED,1,688
6936909,CONFIRMED,0.983,689
6962977,CONFIRMED,1,690
6962977,CONFIRMED,1,691
11176127,CONFIRMED,1,692
11176127,CONFIRMED,1,693
11176127,CONFIRMED,0.996,694
11075279,CANDIDATE,0.998,695
11014932,CONFIRMED,1,696
6607447,CANDIDATE,1,697
6677256,FALSE POSITIVE,0,698
8030148,CONFIRMED,1,699
6692833,FALSE POSITIVE,0,700
6693640,CONFIRMED,1,701
10858691,CONFIRMED,0.91,702
10973814,CONFIRMED,0.999,703
10973814,CONFIRMED,1,704
6541920,CONFIRMED,0.997,705
10586208,CONFIRMED,1,706
6962977,CONFIRMED,1,707
6962977,CONFIRMED,0.857,708
6962977,CONFIRMED,1,709
7174351,FALSE POSITIVE,0,710
6932987,CONFIRMED,1,711
11014932,CONFIRMED,0.997,712
11014932,CONFIRMED,0.999,713
11014932,CONFIRMED,0.998,714
11288505,CONFIRMED,1,715
11493431,CONFIRMED,0.996,716
6441738,CANDIDATE,1,717
8801343,FALSE POSITIVE,0.483,718
8488878,FALSE POSITIVE,0,719
