kepid,koi_disposition,koi_period,koi_time0bk,koi_duration
6948054,CONFIRMED,17.46087931,137.26594,2.2641
6435936,CONFIRMED,56.0560754,201.16578,4.685
6522242,CONFIRMED,41.40831669,195.78745,5.0264
6526710,CANDIDATE,39.74893077,172.854644,7.3051
6587280,CONFIRMED,5.715425977,174.87931,2.5242
9471974,CONFIRMED,49.18394185,141.911924,11.3364
6587280,CONFIRMED,20.0261412,146.91109,1.611
6599919,CANDIDATE,13.61014819,173.987319,2.594
6675056,FALSE POSITIVE,10.44331991,175.4046,2.743
6685526,CONFIRMED,2.237489571,170.81914,1.8119
6756669,FALSE POSITIVE,5.851520671,173.8228336,3.11058
6784235,CONFIRMED,3.167893418,172.147959,2.1814
6849310,CONFIRMED,4.311780262,173.576483,2.7251
6849310,CONFIRMED,20.0504494,188.08821,4.556
6849310,CONFIRMED,9.76734503,186.57718,1.6585
6862328,CANDIDATE,119.0207044,222.236492,8.1405
9471974,CONFIRMED,190.3200468,312.68498,15.284
6862603,FALSE POSITIVE,2.861159894,171.648106,1.8832
7366258,CONFIRMED,26.44439337,194.12074,3.9783
7366258,CONFIRMED,51.53997972,174.055011,6.3994
7366258,CONFIRMED,5.902245782,136.78393,2.9003
7366258,CONFIRMED,2.382951591,135.080841,1.8876
7373451,CONFIRMED,21.02250608,207.67593,4.1072
6948054,CONFIRMED,3.219814777,133.00406,2.0642
6949607,CONFIRMED,5.912273234,172.184012,2.3254
6949607,CONFIRMED,8.98581901,175.68418,2.8606
7031517,CANDIDATE,12.94066866,179.423014,2.4845
11869052,FALSE POSITIVE,20.5452375,137.91394,2.517
7109675,CONFIRMED,33.60123371,186.680343,4.4056
7109675,CONFIRMED,6.76652928,138.0637,2.9004
7118364,CONFIRMED,4.347288783,172.23343,2.1024
7134976,CONFIRMED,4.601811819,169.98108,2.2607
7134976,CONFIRMED,11.18719905,137.17814,3.252
7135852,CONFIRMED,4.220965778,170.622433,3.0854
7270230,FALSE POSITIVE,6.998099523,171.898913,2.0488
7287995,CONFIRMED,5.95489993,170.955871,2.3892
7287995,CONFIRMED,12.03987488,181.22536,2.7363
7287995,CONFIRMED,20.83762895,132.08488,2.3734
3247396,FALSE POSITIVE,8.8111022,136.4568,5.0683
7303253,CONFIRMED,23.58917143,173.81994,5.073
5094751,CONFIRMED,6.481633073,122.977657,3.784
7678434,CONFIRMED,10.37168928,172.61729,3.035
7678434,CONFIRMED,3.96996298,137.75447,1.1757
7685981,CONFIRMED,4.40841331,172.18582,5.012
7708215,FALSE POSITIVE,7.9426176,174.52563,6.703
7373451,CONFIRMED,226.8904775,207.35971,7.558
7377033,FALSE POSITIVE,1.956811408,170.694208,2.1958
7380537,CANDIDATE,2.688899233,170.1020904,2.11275
7434875,CONFIRMED,9.439459486,177.186096,2.8979
8349582,CONFIRMED,11.52306746,131.969055,3.8757
7434875,CONFIRMED,20.47748843,178.66786,2.8364
7434875,CONFIRMED,3.336123113,135.31623,1.9616
7455287,CONFIRMED,8.01078456,170.20739,2.312
7455287,CONFIRMED,12.07134205,143.45948,4.3224
7455287,CONFIRMED,20.99587872,152.31554,2.6333
7458762,CONFIRMED,7.41113177,175.34754,2.5242
7552344,FALSE POSITIVE,1.000747038,169.974229,0.9967
757450,CONFIRMED,8.884922995,169.991686,2.07004
7585481,CONFIRMED,8.09888906,176.623731,4.20241
7663691,CONFIRMED,10.00653012,176.96898,5.344
5812701,CONFIRMED,17.85522168,146.596466,7.41287
8013419,CANDIDATE,12.73262407,176.939054,2.2083
8018547,CANDIDATE,83.92494032,236.76334,6.7904
8039892,CONFIRMED,5.007316661,173.433997,4.2362
8150320,CONFIRMED,2.211116989,170.150139,1.6485
8150320,CONFIRMED,27.9541337,178.73791,3.95
11086270,CONFIRMED,12.69104387,137.12594,3.7727
7767559,FALSE POSITIVE,4.409409243,171.89433,3.8636
7825899,CONFIRMED,16.23947096,175.569907,4.0374
7825899,CONFIRMED,6.308201629,174.047661,2.9785
7849854,CONFIRMED,2.052349884,169.890622,2.0778
7870390,CONFIRMED,9.7704486,175.71372,2.4517
7870390,CONFIRMED,5.169804269,172.63153,2.153
5094751,CONFIRMED,21.22261195,137.57403,6.5093
7870390,CONFIRMED,20.09017037,147.97788,4.154
7907423,CONFIRMED,7.11373257,174.32351,2.1764
7907423,CONFIRMED,3.306551643,134.37211,1.8177
7907423,CONFIRMED,15.36845737,147.38965,2.4714
7938496,CONFIRMED,13.81020318,172.33533,3.048
8490993,CONFIRMED,4.093578461,171.00954,2.5833
8490993,CONFIRMED,105.145959,178.367,8.593
8505670,CONFIRMED,10.8484518,171.80584,2.9993
8505670,CONFIRMED,6.66833241,137.43988,1.915
8544996,CONFIRMED,4.082274889,169.6375652,3.23015
8552202,CANDIDATE,3.886655224,169.73814,3.1646
8150320,CONFIRMED,42.1406089,139.0604,5.083
8150320,CONFIRMED,4.617490562,135.04909,2.2618
8150320,CONFIRMED,10.19849255,137.92067,2.4283
8180063,FALSE POSITIVE,5.795063956,172.697467,3.2496
8226994,CONFIRMED,7.15681552,174.13511,2.5882
8226994,CONFIRMED,17.64830851,133.54533,2.0873
8226994,CONFIRMED,4.14810719,133.3881,2.535
8247638,CONFIRMED,16.51410989,176.11686,4.1575
8247638,CONFIRMED,30.1329298,190.38336,5.172
8247638,CONFIRMED,4.79090809,136.31106,2.603
11086270,CONFIRMED,31.71981013,142.82083,4.819
8247638,CONFIRMED,99.6415962,198.68664,4.448
8255887,CONFIRMED,4.708326451,171.446507,3.16114
8256049,FALSE POSITIVE,16.37198661,172.75926,3.8449
8414716,CONFIRMED,5.392026903,171.72707,2.9804
9140402,CANDIDATE,2.494170338,170.852848,1.1221
9141746,CONFIRMED,6.491682808,174.633553,4.301
9159275,FALSE POSITIVE,3.044770796,172.01916,10.0134
9166862,CONFIRMED,3.855603916,170.6787843,3.2179
9166870,FALSE POSITIVE,3.855599139,170.67957,3.183
11449844,CONFIRMED,38.47876629,151.852812,5.04169
8605074,FALSE POSITIVE,37.60166128,194.713383,8.30604
8628973,CONFIRMED,3.314947362,171.313058,1.8007
8655354,FALSE POSITIVE,6.71969089,173.35776,3.0231
8672910,CONFIRMED,39.6431552,206.596798,6.5292
8686150,FALSE POSITIVE,51.42598578,173.535933,16.9422
8689031,CONFIRMED,21.80451611,190.49737,3.4097
8689373,CONFIRMED,10.28194593,175.33988,3.4366
8689373,CONFIRMED,18.11993039,182.61535,4.2309
8689373,CONFIRMED,3.78402867,133.28133,1.9012
8826878,CONFIRMED,5.15448142,171.6389,3.228
5897826,FALSE POSITIVE,33.80364366,202.259731,11.4813
8883593,CONFIRMED,5.743469797,174.898924,3.4412
8951215,CANDIDATE,39.4759093,173.31207,2.968
9016295,FALSE POSITIVE,19.97448524,171.6300909,4.23479
9077124,CONFIRMED,3.166353562,170.966145,3.3129
9097120,FALSE POSITIVE,23.89963441,188.982797,3.81881
9466668,CONFIRMED,3.388012244,170.5336,2.6849
9466668,CONFIRMED,5.83909761,132.09261,3.1915
9466668,CONFIRMED,1.620467654,132.06388,2.1888
9466668,CONFIRMED,10.6816951,131.55082,3.605
9479273,CONFIRMED,6.104849417,169.573477,4.6912
8359498,CONFIRMED,3.578780566,134.0304187,2.91089
9171801,FALSE POSITIVE,3.187067566,171.64976,3.119
9334289,CONFIRMED,5.826657508,173.011411,2.9183
9334289,CONFIRMED,12.41216347,142.54039,3.739
9334289,CONFIRMED,18.74649011,147.13074,3.895
9347899,CONFIRMED,20.86021229,180.017757,5.1937
9347899,CONFIRMED,42.63427848,141.16954,6.1998
9347899,CONFIRMED,87.6476068,134.94222,8.871
9347899,CANDIDATE,9.61731426,142.47479,3.8692
9388479,CONFIRMED,9.467821474,178.415842,2.4327
9388479,CONFIRMED,0.893040969,134.540342,1.0981
11359879,CONFIRMED,4.942783419,136.3294353,3.25346
9406990,CONFIRMED,20.83426731,176.58569,4.0454
9415172,CONFIRMED,9.94602357,171.70192,3.3862
9415172,CONFIRMED,1.04562195,133.91912,1.8955
9415172,CONFIRMED,5.71462396,132.63866,2.336
9904059,FALSE POSITIVE,102.9641952,158.07473,15.735
3231341,CONFIRMED,8.14515981,140.56811,5.073
3231341,CONFIRMED,18.9985279,144.74157,4.529
3231341,CONFIRMED,4.24439049,137.06643,3.282
2860866,CANDIDATE,90.1240507,356.23415,11.649
