# This file was produced by the NASA Exoplanet Archive  http://exoplanetarchive.ipac.caltech.edu
# Sat Mar 12 08:21:15 2022
#
# User preference: *
#
# COLUMN tfopwg_disp:    TFOPWG Dispostion (CP | FP | KP | PC)
# COLUMN tid:            TESS Input Catalog ID
#
tfopwg_disp,tid
PC,274215536
FP,371210825
PC,453387619
PC,95129101
PC,137500798
PC,230377505
PC,230377505
FP,240148934
APC,241173474
PC,29119552
PC,309257814
FP,309257814
PC,445805961
FP,461662295
APC,67926921
PC,15863518
KP,239154970
PC,142090065
PC,14336130
PC,149833117
PC,257241363
PC,293617835
CP,29857954
KP,356473034
KP,51234631
PC,85242435
PC,71431780
FP,81212286
KP,86396382
CP,130181866
CP,130181866
PC,241225337
CP,285048486
FP,298666530
PC,270341214
PC,318022259
PC,318022259
PC,318022259
KP,371234684
PC,470987100
FP,53427308
PC,224596152
PC,365673804
PC,408618999
PC,233009109
PC,104208182
PC,159418353
CP,425997655
CP,425997655
PC,425997655
PC,425997655
PC,425997655
PC,174041208
PC,198206613
PC,219857012
PC,219860288
PC,229455001
PC,232635922
PC,232650365
PC,232650365
PC,233071822
PC,233071926
CP,233602827
CP,233602827
CP,307210830
CP,307210830
CP,307210830
PC,237099296
PC,287080092
PC,287139872
PC,287139872
PC,289580577
PC,332477926
APC,356978132
PC,364074068
PC,367753709
PC,367858035
PC,408636441
FP,272086159
FP,420112587
PC,424391516
PC,435680451
PC,441739871
PC,1551345500
PC,272672133
KP,67666096
KP,8767448
PC,137906197
APC,287225295
CP,262530407
PC,457138169
KP,252479260
PC,85293053
KP,332064670
CP,4897275
PC,9348006
PC,21535395
PC,29191624
PC,39699648
KP,67646988
CP,251848941
CP,251848941
CP,251848941
KP,251848941
KP,99834717
KP,137881699
PC,160045097
PC,160045097
PC,160045097
PC,229938290
APC,241196395
PC,230386259
FP,86280613
PC,372730331
FP,450327768
CP,172518755
PC,207141131
PC,310981412
PC,233684293
PC,29191596
CP,304142124
PC,286916251
FP,135083444
KP,138819293
PC,368435330
PC,198153540
PC,198153540
PC,8967242
APC,51912829
KP,17993892
PC,119584412
PC,138762614
PC,144401492
PC,144401492
PC,148679712
PC,165763244
PC,166648874
CP,180695581
FP,307734817
KP,347329162
PC,76923707
KP,373693175
PC,376524552
PC,207425167
PC,207425167
PC,207425167
